,__DATAPOINT_UID,context_uid,Unnamed: 0,Unnamed: 0.1,mmsi,longitude,latitude,eta,vessel_type_main,sog,source,ts_pos_utc,dt_pos_utc,TimeDelta,Distance,Speed,ground_truth,lat,lon
0,doc::0,0,0,0,354726000,-58.553917,-40.946415,2023-01-06T06:00:00.000Z,DRY_BULK,11.5,TERRESTRIAL,20230104151121,2023-01-04 15:11:21,0 days 00:00:00,0.0,0.0,Normal,-42.3,-60.5
1,doc::1,1,1,1,354726000,-58.897934,-41.084217,2023-01-06T06:00:00.000Z,DRY_BULK,11.5,SATELLITE,20230104164341,2023-01-04 16:43:41,0 days 01:32:20,32.67828100862607,13.19484015119657,Normal,-42.3,-60.5
2,doc::10,10,10,10,354726000,-60.53836359848131,-42.996166,2023-01-18T06:00:00.000Z,DRY_BULK,11.9,SATELLITE,20230115195711,2023-01-15 19:57:11,0 days 02:50:42,342.41597271154507,74.78662567183771,Anomaly,-42.3,-60.5
3,doc::100,100,100,100,354726000,-29.567066,-31.54345,2023-03-18T17:00:00.000Z,DRY_BULK,12.2,SATELLITE,20230201175502,2023-02-01 17:55:02,0 days 00:10:03,3.832181176133276,14.216196446279456,Normal,-42.3,-60.5
4,doc::1000,1000,1000,1000,354726000,47.8898,-26.19265,2023-05-16T02:00:00.000Z,DRY_BULK,12.6,DYNAMIC,20230428071232,2023-04-28 07:12:32,0 days 00:15:18,5.938810365676098,14.471430781821164,Normal,-42.3,-60.5
